trt, performance_error, stability_aggreement, best_performance, best_stability
1, 38.23, 0, 1, 1
3, 34.13, 0, 1, 8
5, 31.32, 0, 1, 16
7, 32.12, 0, 1, 68
9, 35.31, 0, 1, 86
