trt, performance_error, stability_aggreement, best_performance, best_stability
1, 2.92, 72, 1, 22
3, 2.61, 88, 1, 47
5, 2.97, 76, 1, 13
7, 2.77, 68, 1, 34
9, 3.47, 67, 1, 19
