trt, performance_error, stability_aggreement, best_performance, best_stability
1, 7.52, 61, 1, 32
3, 19.68, 72, 1, 23
5, 17.23, 81, 1, 34
7, 14.99, 84, 1, 28
9, 11.03, 60, 1, 15
