trt, performance_error, stability_aggreement, best_performance, best_stability
1, 27.04, 0, 1, 4
3, 26.40, 0, 1, 11
5, 26.49, 0, 1, 37
7, 32.06, 0, 1, 34
9, 32.33, 1, 1, 69
