trt, performance_error, stability_aggreement, best_performance, best_stability
1, 52.46, 0, 1, 0
3, 56.38, 0, 1, 3
5, 52.41, 0, 1, 17
7, 53.77, 0, 1, 38
9, 59.12, 0, 1, 92
